2026-09-21 16:39:51,026 [INFO] Iniciando varredura recursiva em: C:\Users\heuder.sena\Downloads
2026-09-21 16:39:51,098 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\der_gestao_eventos_e2acf52b.pdf
2026-09-21 16:39:51,098 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\design_responsivo_vs_adaptativo_756f5204.pptx
2026-09-21 16:39:51,099 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\detalhe_boleto_1_d8feb2e3.pdf
2026-09-21 16:39:51,100 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\detalhe_boleto_92569c64.pdf
2026-09-21 16:39:51,100 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\dilvani_maria_rodrigues_3c72d00c.pdf
2026-09-21 16:39:51,101 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\dilvani_maria_rodrigues_4cb78c2c.docx
2026-09-21 16:39:51,101 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\dockerfile_3f995ec4
2026-09-21 16:39:51,102 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\docker_compose_25e2c78e.yml
2026-09-21 16:39:51,104 [INFO] Renomeado arquivo: 'C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\documenta.html' -> 'C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\documenta_18b0a43d.html'
2026-09-21 16:39:51,106 [INFO] Renomeado arquivo: 'C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\documentacao.html' -> 'C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\documentacao_92b2aecd.html'
2026-09-21 16:39:51,108 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\documentacao_missao_mais_que_possivel_e8f034ab.docx
2026-09-21 16:39:51,108 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\documentacao_sipag_sicoob_negocios_4aaba833.pdf
2026-09-21 16:39:51,109 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\dr_bruno_juridico_recuperacao_judicial_do_produtor_no_ambito_das_cooperativas_de_credito_1_faa9c57e.pdf
2026-09-21 16:39:51,109 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\entrypoint_06299c1a.sh
2026-09-21 16:39:51,110 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\estrategia_do_impulsiona_1_1_dfc0134f.docx
2026-09-21 16:39:51,111 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\fevx4mjgbfdeq5to5bjgys6flfozohldp0dvclhu_1_87e4fb8e.pdf
2026-09-21 16:39:51,111 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\fevx4mjgbfdeq5to5bjgys6flfozohldp0dvclhu_5ec29863.pdf
2026-09-21 16:39:51,114 [INFO] Renomeado arquivo: 'C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\gerador-md5-url-estilizado.html' -> 'C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\gerador_md5_url_estilizado_56ec18d8.html'
2026-09-21 16:39:51,114 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\gil_carlos_barabach_cenarios_e_perspectivas_do_mercado_de_cafe_c68b8708.pdf
2026-09-21 16:39:51,115 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\gil_carlos_barabach_cenarios_e_perspectivas_do_mercado_de_cafe_c68b8708_1_3652b5de.pdf
2026-09-21 16:39:51,115 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\guia_da_cooperativa_credenciamento_sipag_no_sisbr_3_0_08_2026_c2a1a703.pdf
2026-09-21 16:39:51,115 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\guia_de_reguas_de_relacionamento_setembro_anexo_ii_f4c5bbf6.pdf
2026-09-21 16:39:51,116 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\guia_sistema_logistico_3c933339.pdf
2026-09-21 16:39:51,116 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\guide_pt_br_f4604168.md
2026-09-21 16:39:51,116 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\heuder_rodrigues_de_sena_202608_87f26058.pdf
2026-09-21 16:39:51,117 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\impulsiona_mais_banner_pagina_73b2d2d0.png
2026-09-21 16:39:51,117 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\impulsiona_mais_regulamento_agosto_2026_2_2d3e5ad5.pdf
2026-09-21 16:39:51,117 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\inativos_maisqpossivel_central_1001_singular_3260_2026_09_10_145524_77b43a58.xlsx
2026-09-21 16:39:51,118 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\inativos_maisqpossivel_central_2003_singular_4090_2026_09_10_100314_cc2f48c6.xlsx
2026-09-21 16:39:51,118 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\inativos_maisqpossivel_central_2003_singular_4101_2026_09_10_104919_64f6c54b.xlsx
2026-09-21 16:39:51,118 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\investment_conference_announcement_fb30f683.zip
2026-09-21 16:39:51,118 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\j9pszszyptt07ejv4glks0ixohhm89qhzjbqtssv_080889af.pdf
2026-09-21 16:39:51,119 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\jlntgj4sqxafuqcb4v89fikta8l26mztef4m39va_2abaf400.pdf
2026-09-21 16:39:51,119 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\kiplrst8rc800h2do1oyhwzhngki9fq9qmqonvw6_c57354d2.pdf
2026-09-21 16:39:51,119 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\links_acessados_2026_07_30_145320_d7fd2ee8.xls
2026-09-21 16:39:51,119 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\links_acessados_2026_07_30_145455_e01afb6a.xls
2026-09-21 16:39:51,120 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\links_acessados_2026_07_30_150252_c1e57f5d.csv
2026-09-21 16:39:51,120 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\links_acessados_2026_07_30_152018_add658c0.csv
2026-09-21 16:39:51,120 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\links_acessados_2026_07_30_152254_4f3296e9.csv
2026-09-21 16:39:51,120 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\links_acessados_2026_07_30_153016_19a3f203.csv
2026-09-21 16:39:51,121 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\lista_de_inativos_campanha_mais_que_possivel_sipag_1_1_8de92e48.csv
